time,y_true,y_pred
2022-01,104.9,103.1799
2022-02,103.5,103.1799
2022-03,103.7,103.160805
2022-04,104.3,103.160805
2022-05,103.1,102.911674
2022-06,96.8,96.60236
2022-07,86.2,85.94873
2022-08,89.0,88.93513
2022-09,91.6,91.1771
2022-10,89.0,88.92987
2022-11,86.6,86.55549
2022-12,90.1,89.946434
2023-01,90.7,90.48004
2023-02,90.2,90.027794
2023-03,92.0,91.57545
2023-04,95.2,95.05565
2023-05,98.1,97.50046
2023-06,100.8,100.48094
2023-07,103.4,102.06155
2023-08,103.3,102.53847
2023-09,99.8,99.413475
2023-10,98.2,97.80019
2023-11,97.3,97.26889
2023-12,99.7,99.49226
2024-01,101.6,100.9428
2024-02,101.9,101.611374
2024-03,100.7,100.600494
2024-04,100.7,100.27622
2024-05,98.4,98.22469
2024-06,100.9,100.46913
2024-07,103.6,101.19525
2024-08,100.8,100.89766
2024-09,100.0,98.36663
2024-10,101.8,99.868774
2024-11,100.7,99.74965
2024-12,88.2,96.42721
2025-01,91.2,90.2531
2025-02,95.2,91.999535
2025-03,93.4,92.2102
2025-04,93.8,90.76482
2025-05,101.8,96.30249
2025-06,108.7,99.53017
