연월,CCSI,연월_dt,총액_lag_1,CCSI_lag_1,총액_lag_2,CCSI_lag_2,총액_lag_3,CCSI_lag_3,총액_lag_12,CCSI_lag_12,총액_roll_mean_6,총액_roll_std_6,CCSI_roll_mean_6,CCSI_roll_std_6,총액_roll_max_6,총액_roll_min_6,총액_diff_1,CCSI_diff_1,총액_diff_12,CCSI_diff_12,총액_slope_3,CCSI_slope_3,month
202201,104.9,2022-01-01,,,,,,,,,,,,,,,,,,,,,1
202202,103.5,2022-02-01,460430925553.1,104.9,,,,,,,,,,,,,-62150815035.599976,-1.4000000000000057,,,,,2
202203,103.7,2022-03-01,398280110517.5,103.5,460430925553.1,104.9,,,,,,,,,,,71501089582.40002,0.20000000000000284,,,4675137273.400024,-0.6000000000000014,3
202204,104.3,2022-04-01,469781200099.9,103.7,398280110517.5,103.5,460430925553.1,104.9,,,,,,,,,34407653430.69995,0.5999999999999943,,,52954371506.54999,0.3999999999999986,4
202205,103.1,2022-05-01,504188853530.6,104.3,469781200099.9,103.7,398280110517.5,103.5,,,,,,,,,32168107171.900024,-1.2000000000000028,,,33287880301.299988,-0.30000000000000426,5
202206,96.8,2022-06-01,536356960702.5,103.1,504188853530.6,104.3,469781200099.9,103.7,,,479550251300.0334,48423816286.07403,102.71666666666665,2.9667602981479053,536356960702.5,398280110517.5,-28093503305.900024,-6.299999999999997,,,2037301932.9999998,-3.75,6
202207,86.2,2022-07-01,508263457396.6,96.8,536356960702.5,103.1,504188853530.6,104.3,,,487822993397.7666,48743095431.378456,99.60000000000001,7.124043795485812,536356960702.5,398280110517.5,1803920742.9000244,-10.599999999999994,,,-13144791281.5,-8.449999999999996,7
202208,89.0,2022-08-01,510067378139.5,86.2,508263457396.6,96.8,536356960702.5,103.1,,,506609564913.78326,21359117796.338825,97.18333333333334,7.9481863759392635,536356960702.5,469781200099.9,932161474.0999756,2.799999999999997,,,1368041108.5,-3.899999999999998,8
202209,91.6,2022-09-01,510999539613.6,89.0,510067378139.5,86.2,508263457396.6,96.8,,,512089384502.45,12330115229.074528,95.16666666666667,7.4856306792859115,536356960702.5,502660117631.9,-8339421981.699951,2.5999999999999943,,,-3703630253.7999873,2.6999999999999957,9
202210,89.0,2022-10-01,502660117631.9,91.6,510999539613.6,89.0,510067378139.5,86.2,,,515796460121.4666,12813872234.794113,92.61666666666667,6.25728908287498,536356960702.5,502660117631.9,23771189612.799988,-2.5999999999999943,,,7715883815.550018,0.0,10
